COMPONENTE CURRICULAR;MUNICÍPIO;ESCOLA;TURMA;PREVISTOS;AVALIADOS;PARTICIPAÇÃO (%);PRÉ-LEITOR (TOTAL);PRÉ-LEITOR (NÍVEL 1);PRÉ-LEITOR (NÍVEL 2);PRÉ-LEITOR (NÍVEL 3);PRÉ-LEITOR (NÍVEL 4);LEITOR INICIANTE;LEITOR FLUENTE
FLUÊNCIA;ATIBAIA;ANDRE FRANCO MONTORO E M;2º ANO A INTEGRAL ANUAL;28;26;93;58%;12%;4%;0%;42%;35%;8%
FLUÊNCIA;ATIBAIA;ARMANDO TAMASSIA PADRE EM;2º ANO A MANHA ANUAL;27;27;100;48%;0%;26%;4%;19%;48%;4%
FLUÊNCIA;ATIBAIA;ARMANDO TAMASSIA PADRE EM;2º ANO B MANHA ANUAL;27;27;100;41%;11%;15%;7%;7%;59%;0%
FLUÊNCIA;ATIBAIA;ARMANDO TAMASSIA PADRE EM;2º ANO C TARDE ANUAL;30;29;97;76%;3%;14%;10%;48%;21%;3%
FLUÊNCIA;ATIBAIA;CATARINA MARIA DOS REIS EMEFR;2º ANO A INTEGRAL ANUAL;16;15;94;53%;20%;7%;0%;27%;33%;13%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO A MANHA ANUAL;29;29;100;38%;7%;0%;10%;21%;59%;3%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO B MANHA ANUAL;27;26;96;38%;0%;8%;12%;19%;58%;4%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO C TARDE ANUAL;26;25;96;36%;4%;0%;4%;28%;40%;24%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM I PROFESSORA ELIZETE RODRIGUES;2º ANO D TARDE ANUAL;28;26;93;46%;0%;4%;0%;42%;46%;8%
FLUÊNCIA;ATIBAIA;CENTRO INTEGRADO DE EDUCACAO MUNICIPAL CIEM II PROFESSOR DOUTOR ORLANDO GIGLIOTTI;2º ANO A INTEGRAL ANUAL;27;26;96;54%;12%;8%;0%;35%;38%;8%
FLUÊNCIA;ATIBAIA;CIEM 3 CENTRO INTEGRADO DE EDUCACAO MUNICIPAL PROFESSORA ESPERANCA APARECIDA GIACOMIN MAEDA;2º ANO A INTEGRAL ANUAL;31;30;97;83%;23%;13%;3%;43%;17%;0%
FLUÊNCIA;ATIBAIA;CIEM 3 CENTRO INTEGRADO DE EDUCACAO MUNICIPAL PROFESSORA ESPERANCA APARECIDA GIACOMIN MAEDA;2º ANO B INTEGRAL ANUAL;30;27;90;63%;4%;15%;11%;33%;33%;4%
FLUÊNCIA;ATIBAIA;EVA CORDULLA HAUER VALLEJO EMEIF;2º ANO A INTEGRAL ANUAL;28;28;100;71%;11%;18%;0%;43%;25%;4%
FLUÊNCIA;ATIBAIA;EVA CORDULLA HAUER VALLEJO EMEIF;2º ANO B INTEGRAL ANUAL;28;27;96;63%;7%;19%;4%;33%;37%;0%
FLUÊNCIA;ATIBAIA;FRANCISCO SILVEIRA BUENO PROF EM;2º ANO A MANHA ANUAL;25;25;100;40%;0%;12%;4%;24%;56%;4%
FLUÊNCIA;ATIBAIA;FRANCISCO SILVEIRA BUENO PROF EM;2º ANO B MANHA ANUAL;27;27;100;48%;15%;7%;0%;26%;37%;15%
FLUÊNCIA;ATIBAIA;FRANCISCO SILVEIRA BUENO PROF EM;2º ANO C TARDE ANUAL;29;29;100;45%;0%;10%;14%;21%;48%;7%
FLUÊNCIA;ATIBAIA;FRANCISCO SILVEIRA BUENO PROF EM;2º ANO D TARDE ANUAL;29;29;100;31%;0%;14%;3%;14%;45%;24%
FLUÊNCIA;ATIBAIA;GUILHERME PILEGGI CONTESINI PROF EM;2º ANO A MANHA ANUAL;30;30;100;40%;7%;0%;7%;27%;43%;17%
FLUÊNCIA;ATIBAIA;GUILHERME PILEGGI CONTESINI PROF EM;2º ANO B TARDE ANUAL;29;28;97;54%;4%;4%;11%;36%;36%;11%
FLUÊNCIA;ATIBAIA;GUILHERME PILEGGI CONTESINI PROF EM;2º ANO C TARDE ANUAL;27;26;96;23%;4%;0%;0%;19%;62%;15%
FLUÊNCIA;ATIBAIA;IGNACIO BORGES EM;2º ANO A INTEGRAL ANUAL;17;17;100;71%;18%;6%;0%;47%;29%;0%
FLUÊNCIA;ATIBAIA;JOSE APARECIDO FERREIRA FRANCO EM;2º ANO A MANHA ANUAL;28;28;100;46%;4%;0%;0%;43%;50%;4%
FLUÊNCIA;ATIBAIA;JOSE APARECIDO FERREIRA FRANCO EM;2º ANO B MANHA ANUAL;28;28;100;50%;11%;11%;7%;21%;32%;18%
FLUÊNCIA;ATIBAIA;JOSE APARECIDO FERREIRA FRANCO EM;2º ANO C TARDE ANUAL;28;27;96;37%;0%;7%;4%;26%;52%;11%
FLUÊNCIA;ATIBAIA;JOSE APARECIDO FERREIRA FRANCO EM;2º ANO D TARDE ANUAL;25;25;100;36%;8%;4%;12%;12%;48%;16%
FLUÊNCIA;ATIBAIA;MARIA CECILIA DE LIMA EM;2º ANO A INTEGRAL ANUAL;23;22;96;68%;5%;32%;0%;32%;27%;5%
FLUÊNCIA;ATIBAIA;MARIA HELENA FARIA FERRAZ PROFA EM;2º ANO A MANHA ANUAL;31;31;100;13%;0%;3%;0%;10%;71%;16%
FLUÊNCIA;ATIBAIA;MARIA HELENA FARIA FERRAZ PROFA EM;2º ANO B TARDE ANUAL;31;31;100;10%;0%;0%;3%;6%;61%;29%
FLUÊNCIA;ATIBAIA;MARIA HELENA FARIA FERRAZ PROFA EM;2º ANO C TARDE ANUAL;29;29;100;38%;10%;3%;3%;21%;45%;17%
FLUÊNCIA;ATIBAIA;MARIA JOSE CINTRA DOS SANTOS PROFA EMEF;2º ANO A MANHA ANUAL;27;27;100;19%;0%;0%;4%;15%;63%;19%
FLUÊNCIA;ATIBAIA;MARIA JOSE CINTRA DOS SANTOS PROFA EMEF;2º ANO B TARDE ANUAL;26;26;100;46%;4%;8%;8%;27%;31%;23%
FLUÊNCIA;ATIBAIA;MARIA JOSE CINTRA DOS SANTOS PROFA EMEF;2º ANO C TARDE ANUAL;26;26;100;54%;15%;4%;8%;27%;42%;4%
FLUÊNCIA;ATIBAIA;MARIA KAZUKO HIGASHIOKA EM;2º ANO A MANHA ANUAL;26;26;100;65%;4%;0%;12%;50%;31%;4%
FLUÊNCIA;ATIBAIA;MARIA KAZUKO HIGASHIOKA EM;2º ANO B MANHA ANUAL;28;28;100;50%;11%;7%;4%;29%;46%;4%
FLUÊNCIA;ATIBAIA;MARIA KAZUKO HIGASHIOKA EM;2º ANO C TARDE ANUAL;28;28;100;29%;4%;4%;4%;18%;57%;14%
FLUÊNCIA;ATIBAIA;MARIA KAZUKO HIGASHIOKA EM;2º ANO D TARDE ANUAL;28;26;93;54%;4%;8%;4%;38%;35%;12%
FLUÊNCIA;ATIBAIA;NELSON JOSE PEDROSO ESTUDANTE EMEF;2º ANO A MANHA ANUAL;31;31;100;35%;10%;0%;3%;23%;55%;10%
FLUÊNCIA;ATIBAIA;NELSON JOSE PEDROSO ESTUDANTE EMEF;2º ANO B TARDE ANUAL;21;21;100;67%;5%;29%;10%;24%;19%;14%
FLUÊNCIA;ATIBAIA;NELSON JOSE PEDROSO ESTUDANTE EMEF;2º ANO C TARDE ANUAL;25;25;100;36%;0%;4%;4%;28%;56%;8%
FLUÊNCIA;ATIBAIA;NIZE DE SOUZA B PACCINI EM;2º ANO A INTEGRAL ANUAL;19;19;100;37%;5%;16%;0%;16%;58%;5%
FLUÊNCIA;ATIBAIA;PAULO FREIRE EDUCADOR ESCOLA MUNICIPAL;2º ANO A INTEGRAL ANUAL;27;26;96;73%;4%;31%;15%;23%;19%;8%
FLUÊNCIA;ATIBAIA;PAULO FREIRE EDUCADOR ESCOLA MUNICIPAL;2º ANO B INTEGRAL ANUAL;25;25;100;52%;4%;8%;4%;36%;36%;12%
FLUÊNCIA;ATIBAIA;PAULO FREIRE EDUCADOR ESCOLA MUNICIPAL;2º ANO C INTEGRAL ANUAL;21;21;100;67%;14%;5%;10%;38%;33%;0%
FLUÊNCIA;ATIBAIA;PEDRO DE ALCANTARA DOS SANTOS SILVA EMEIEF;2º ANO A INTEGRAL ANUAL;28;28;100;46%;0%;0%;11%;36%;46%;7%
FLUÊNCIA;ATIBAIA;RITA LOURDES CARDOSO DE ALMEIDA ALVIM PROFA EM;2º ANO A INTEGRAL ANUAL;33;32;97;66%;6%;9%;3%;47%;31%;3%
FLUÊNCIA;ATIBAIA;ROSIRIS MARIA ANDREUCCI STOPA EM;2º ANO A INTEGRAL ANUAL;27;27;100;41%;0%;0%;0%;41%;26%;33%
FLUÊNCIA;ATIBAIA;SERAFINA LUCA CHERFEN PROFA EM;2º ANO A INTEGRAL ANUAL;34;34;100;32%;0%;0%;3%;29%;53%;15%
FLUÊNCIA;ATIBAIA;TAKAO ONO PREFEITO EMEIEF;2º ANO A MANHA ANUAL;28;28;100;61%;4%;4%;11%;43%;29%;11%
FLUÊNCIA;ATIBAIA;TAKAO ONO PREFEITO EMEIEF;2º ANO B MANHA ANUAL;28;28;100;36%;4%;0%;4%;29%;46%;18%
FLUÊNCIA;ATIBAIA;TAKAO ONO PREFEITO EMEIEF;2º ANO C MANHA ANUAL;28;28;100;43%;18%;0%;0%;25%;54%;4%
FLUÊNCIA;ATIBAIA;TAKAO ONO PREFEITO EMEIEF;2º ANO D TARDE ANUAL;29;28;97;86%;7%;25%;11%;43%;14%;0%
FLUÊNCIA;ATIBAIA;TAKAO ONO PREFEITO EMEIEF;2º ANO E TARDE ANUAL;29;29;100;66%;7%;24%;3%;31%;34%;0%
FLUÊNCIA;ATIBAIA;THEREZINHA DO MENINO JESUS SILVEIRA CAMPOS SIRERA EMEF;2º ANO A MANHA ANUAL;31;28;90;36%;4%;7%;0%;25%;61%;4%
FLUÊNCIA;ATIBAIA;THEREZINHA DO MENINO JESUS SILVEIRA CAMPOS SIRERA EMEF;2º ANO B TARDE ANUAL;27;26;96;54%;15%;15%;12%;12%;46%;0%
FLUÊNCIA;ATIBAIA;THEREZINHA DO MENINO JESUS SILVEIRA CAMPOS SIRERA EMEF;2º ANO C TARDE ANUAL;30;29;97;38%;10%;14%;3%;10%;55%;7%
FLUÊNCIA;ATIBAIA;WALDA PAOLINETTI LOZASSO EM;2º ANO A INTEGRAL ANUAL;26;26;100;69%;15%;0%;12%;42%;31%;0%
FLUÊNCIA;ATIBAIA;WALDEMAR BASTOS BUHLER EM;2º ANO A MANHA ANUAL;30;30;100;60%;10%;7%;10%;33%;33%;7%
FLUÊNCIA;ATIBAIA;WALDEMAR BASTOS BUHLER EM;2º ANO B MANHA ANUAL;29;28;97;46%;4%;18%;11%;14%;46%;7%
FLUÊNCIA;ATIBAIA;WALDEMAR BASTOS BUHLER EM;2º ANO C MANHA ANUAL;31;31;100;52%;16%;23%;3%;10%;42%;6%
FLUÊNCIA;ATIBAIA;WALDEMAR BASTOS BUHLER EM;2º ANO D TARDE ANUAL;31;31;100;68%;19%;29%;6%;13%;23%;10%
FLUÊNCIA;ATIBAIA;WALDEMAR BASTOS BUHLER EM;2º ANO E TARDE ANUAL;32;30;94;73%;7%;23%;10%;33%;27%;0%
FLUÊNCIA;ATIBAIA;WALTER ENGRACIA DE OLIVEIRA PREFEITO EMEF;2º ANO A INTEGRAL ANUAL;23;23;100;61%;4%;13%;17%;26%;30%;9%
FLUÊNCIA;ATIBAIA;WALTER ENGRACIA DE OLIVEIRA PREFEITO EMEF;2º ANO B INTEGRAL ANUAL;25;25;100;44%;8%;4%;0%;32%;44%;12%
FLUÊNCIA;ATIBAIA;WALTER ENGRACIA DE OLIVEIRA PREFEITO EMEF;2º ANO C INTEGRAL ANUAL;15;15;100;100%;20%;33%;0%;47%;0%;0%
